Matchup,Market Total,Model (Predicted Total),Edge,Actual Final Total Score,Model Error
Lehigh @ Army West Point,138.5,144.5,6,131,-13.5
Baylor @ Cincinnati,140.5,148.5,8,124,-24.5
IU Indy @ Robert Morris,152.5,156.5,4,132,-24.5
Oakland @ Purdue Fort Wayne,157.5,157.5,0,139,-18.5
Western Ky. @ Kennesaw St.,155.5,155.3,-0.2,141,-14.3
Austin Peay @ Eastern Ky.,144.5,145.1,0.6,172,26.9
Holy Cross @ Colgate,136.5,140.1,3.6,153,12.9
American @ Loyola Maryland,142.5,144.5,2,145,0.5
Bucknell @ Lafayette,131.5,139.2,7.7,160,20.8
Navy @ Boston U.,132.5,138.2,5.7,108,-30.2
La Salle @ Fordham,125.5,132.8,7.3,122,-10.8
Rice @ East Carolina,134.5,142.5,8,160,17.5
Charlotte @ Temple,132.5,140.6,8.1,156,15.4
California @ Florida St.,148.5,152.1,3.6,124,-28.1
West Ga. @ Bellarmine,148.5,148.9,0.4,151,2.1
Jacksonville St. @ FIU,142.5,144.8,2.3,152,7.2
Texas @ Auburn,149.5,156.9,7.4,170,13.1
Tennessee @ Georgia,152.5,155.3,2.8,171,15.7
Mississippi St. @ LSU,144.5,150.9,6.4,146,-4.9
Central Ark. @ Queens (NC),150.5,149.6,-0.9,190,40.4
Butler @ St. John's (NY),155.5,155.9,0.4,162,6.1
Davidson @ George Mason,128.5,136.7,8.2,112,-24.7
St. Bonaventure @ Duquesne,147.5,152.3,4.8,166,13.7
Xavier @ Seton Hall,137.5,143.3,5.8,154,10.7
Evansville @ Drake,133.5,139.8,6.3,160,20.2
Marshall @ Texas St.,141.5,145.6,4.1,140,-5.6
Denver @ Kansas City,154.5,150.7,-3.8,130,-20.7
South Dakota St. @ Omaha,141.5,144.6,3.1,151,6.4
Old Dominion @ Arkansas St.,153.5,153.9,0.4,146,-7.9
UAB @ UTSA,146.5,148.6,2.1,156,7.4
North Texas @ Tulsa,134.5,143.6,9.1,148,4.4
Mississippi Val. @ Southern U.,133.5,142.5,9,149,6.5
Belmont @ Valparaiso,137.5,145.3,7.8,155,9.7
Sam Houston @ Missouri St.,140.5,136.8,-3.7,151,14.2
DePaul @ Georgetown,133.5,142.6,9.1,131,-11.6
Louisiana Tech @ UTEP,120.5,128.9,8.4,128,-0.9
Houston @ TCU,130.5,139.8,9.3,149,9.2
South Fla. @ Tulane,151.5,152.9,1.4,180,27.1
Stanford @ Miami (FL),139.5,151.3,11.8,149,-2.3
Delaware @ New Mexico St.,130.5,136.7,6.2,137,0.3
Minnesota @ Wisconsin,139.5,147.1,7.6,130,-17.1
Illinois St. @ Murray St.,152.5,154.9,2.4,135,-19.9
Wyoming @ Utah St.,143.5,150.5,7,156,5.5
Florida @ South Carolina,144.5,147.4,2.9,143,-4.4
San Diego @ Pepperdine,143.5,145.2,1.7,180,34.8
Seattle U @ Washington St.,136.5,140.1,3.6,128,-12.1
Portland @ Pacific,135.5,143,7.5,125,-18
Oregon St. @ LMU (CA),133.5,139.5,6,141,1.5
Colorado St. @ San Diego St.,131.5,140.5,9,123,-17.5
UCLA @ Oregon,131.5,144.6,13.1,130,-14.6
San Francisco @ Santa Clara,144.5,148.5,4,161,12.5
Southern California @ Iowa,141.5,140.3,-1.2,145,4.7
