Matchup,Total Points,AdjT_A,AdjT_H,AdjOE_A,AdjOE_H,AdjDE_A,AdjDE_H,eFG_A,eFG_H,TO_A,TO_H,OR_A,OR_H,FTR_A,FTR_H
Furman Paladins vs Samford Bulldogs,Under 155.5,66.2861,66.1218,106.666,105.582,107.669,117.528,54.3,50.3,18.1,12.6,31.9,25.2,30.6,41.5
Binghamton Bearcats vs Bryant Bulldogs,Over 123.5,65.5843,63.6879,95.7173,94.8492,122.761,116.674,47.8,44.6,20.3,21.1,22.5,27.8,44.2,26.5
New Hampshire Wildcats vs UMass Lowell River Hawks,Over 135.5,66.6288,69.2673,99.7359,101.245,110.016,115.493,46.7,49.5,17.2,19.7,25.8,30.3,26.9,37.1
Albany Great Danes vs NJIT Highlanders,Over 133.5,65.5842,68.3021,103.766,97.2794,115.252,113.969,49.9,45.7,18.8,18.2,32.0,25.8,26.6,34.3
UNC Asheville Bulldogs vs Gardner-Webb Runnin´ Bulldogs,Under 156.5,65.6013,70.4314,103.584,94.8524,109.737,123.738,51.5,45.9,18.4,20.8,29.3,24.0,40.8,31.7
Jacksonville Dolphins vs Lipscomb Bisons,Under 149.5,63.2533,69.8571,101.679,107.6,113.691,107.81,49.7,53.0,18.8,16.5,30.4,26.1,30.8,28.1
Campbell Fighting Camels vs Stony Brook Seawolves,Under 157.5,70.3752,64.6759,109.107,105.763,113.842,109.957,49.4,50.5,18.6,16.8,32.9,28.1,45.5,28.6
Mercyhurst Lakers vs New Haven Chargers,Over 115.5,63.2016,62.725,98.8055,95.5012,109.545,112.008,48.8,47.9,15.9,20.0,26.1,23.6,23.5,26.8
Florida Gulf Coast Eagles vs North Alabama Lions,Under 156.5,69.5144,72.9344,124.373,129.87,93.8312,101.644,52.5,54.7,16.9,12.7,43.5,32.4,40.1,36.6
Middle Tennessee State Blue Raiders vs Liberty Flames,Over 129.5,65.5346,63.3704,121.66,116.768,96.1381,108.582,53.8,59.7,18.6,13.6,44.8,20.2,40.3,30.1
Chattanooga Mocs vs Wofford Terriers,Under 156.5,65.9564,67.6486,103.776,109.42,114.685,115.03,52.6,51.7,14.3,14.2,19.8,31.4,33.3,37.9
North Florida Ospreys vs Stetson Hatters,Under 173.5,70.6509,67.2567,110.761,102.251,127.189,116.415,53.9,50.1,18.4,19.3,23.9,25.4,25.3,33.9
Hofstra Pride vs College of Charleston Cougars,Under 156.5,65.0469,67.7342,115.809,108.344,111.202,109.582,52.1,51.2,16.3,16.5,34.5,30.8,33.7,44.8
East Tennessee State Buccaneers vs Western Carolina Catamounts,Under 154.5,65.5346,67.9115,121.66,107.872,96.1381,117.722,53.8,49.1,18.6,18.5,44.8,34.5,40.3,29.1
Troy Trojans vs James Madison Dukes,Under 156.5,66.0624,67.2012,115.641,124.972,109.695,93.8345,53.4,57.7,17.0,16.4,34.6,37.8,37.1,42.4
Drexel Dragons vs Hampton Pirates,Over 122.5,63.4306,64.7304,104.451,102.535,106.708,111.343,50.7,46.7,18.6,18.0,32.6,34.1,30.6,39.8
Citadel Bulldogs vs VMI Keydets,Under 150.5,63.8716,66.3169,99.2182,99.8821,120.869,121.767,48.7,46.7,18.1,16.4,28.3,28.0,31.7,33.1
Vermont Catamounts vs Maryland Baltimore,Over 132.5,64.1453,67.3887,109.522,110.967,114.196,106.725,53.4,47.6,14.4,18.0,26.4,32.9,29.5,40.1
Iowa State Cyclones vs Colorado Buffaloes,Under 160.5,63.6509,66.1171,120.418,114.184,95.9238,114.901,58.0,56.2,16.4,15.5,31.8,27.8,37.1,43.0
Charleston Southern Buccaneers vs Radford Highlanders,Under 170.5,67.7342,70.8158,108.344,107.88,109.582,116.548,51.2,51.7,16.5,17.1,30.8,29.3,44.8,41.9
Elon Phoenix vs William & Mary Tribe,Under 174.5,67.0877,73.5953,114.753,109.629,115.948,104.795,55.1,53.9,16.1,17.4,34.2,26.5,33.7,37.7
Stonehill Skyhawks vs Fairleigh Dickinson Knights,Over 123.5,66.1987,65.4824,91.7863,101.316,109.091,118.593,47.4,46.4,21.7,17.9,29.2,31.0,25.3,34.6
Mercer Bears vs North Carolina Greensboro Spartans,Under 167.5,69.3939,68.0089,114.102,122.837,111.502,101.596,53.4,55.6,15.9,14.2,33.4,33.9,36.4,41.0
SC Upstate Spartans vs Longwood Lancers,Under 151.5,67.5125,67.8415,99.4481,104.146,111.829,113.846,48.0,49.7,17.4,19.5,28.2,34.0,34.5,42.5
LIU Sharks vs Le Moyne Dolphins,Under 154.5,68.0188,68.1071,106.346,105.275,110.987,113.045,52.2,53.3,19.9,19.0,36.8,27.6,32.6,40.4
Morehead St Eagles vs SIU Edwardsville Cougars,Over 127.5,65.1311,63.7393,105.883,99.3576,119.179,107.913,48.2,48.3,19.4,17.5,37.5,31.9,35.6,33.2
Wagner Seahawks vs Central Connecticut State Blue Devils,Over 134.5,65.3669,64.5096,106.248,106.821,121.15,120.338,51.8,51.5,19.2,15.9,32.7,27.6,30.3,30.5
Louisiana Monroe Warhawks vs Georgia Southern Eagles,Under 167.5,62.3938,70.4449,97.0945,109.009,111.11,115.462,46.7,49.7,18.4,14.0,26.5,29.5,26.1,41.8
Tarleton State Texans vs Utah Valley Wolverines,Under 164.5,71.1776,69.6314,108.663,112.287,109.61,103.554,50.4,55.1,19.5,20.5,31.8,34.2,44.3,36.3
Southern Miss Golden Eagles vs Appalachian State Mountaineers,Under 141.5,70.4193,62.2189,102.717,104.58,110.949,107.694,47.5,50.1,17.8,15.5,30.8,31.0,38.7,34.6
