Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
130,Navy,Pat,16,15-1,106.5,102.8,0.5982,55.5,46.6,16.8,17.8,32,25,39,22.3,55.3,51,37.2,28.1,32.6,49.2,65.1,-0.07
136,UNC Wilmington,CAA,15,13-2,108.9,106,0.5769,50.2,48.1,13.8,14.5,30.3,25.2,46.7,33.5,48.1,51.4,35.7,28.9,38.4,40.4,66,-0.07
38,Auburn,SEC,14,6-8,125.6,105.5,0.8805,49.5,55.3,13.2,15.7,37.9,32.5,46.1,39.9,51.1,53,31.2,39.1,36.5,41.5,67.2,-0.11
65,California,ACC,14,7-7,116.2,104.1,0.7798,49.9,51.6,15,13.5,23.9,32.1,37.7,40.7,46.1,56.7,36.6,30.3,43.3,44.9,68.3,-0.32
115,Merrimack,MAAC,18,16-2,109.9,104.8,0.6341,53,44.4,14.6,19.8,24.1,39.3,44,34.9,52.7,44.9,35.6,28.8,44,31.8,63.5,-0.45
50,Grand Canyon,MWC,16,10-6,110.7,96,0.8371,51.3,45.4,18,17,29.7,28.7,39.3,39.6,54.7,45.5,30.8,30.2,40.2,38,68.8,-0.48
60,Nevada,MWC,16,10-6,117.1,104.6,0.7859,51.2,51.4,15.4,16.7,31.5,28.5,44.1,37.4,48,50,38,35.4,35.4,45.1,65.6,-0.5
49,Virginia Tech,ACC,15,7-8,117.4,101.8,0.8382,51.1,51.5,16.4,16.1,31.2,32.5,35.5,26.5,49.8,55,35.3,30.6,41.6,38.7,66.4,-0.6
145,Kent St.,MAC,14,11-3,110.1,108.5,0.5419,49.7,49.4,18.5,15.1,37.3,28.9,45,39.1,50,50.3,32.9,32,43.3,39.4,70.2,-0.6
178,Winthrop,BSth,14,12-2,109.6,110.2,0.4838,50.2,49.1,15.3,16.7,35.3,27.4,46.9,40,50.4,52.9,33.2,29.3,44.2,43,69.7,-0.6
76,McNeese St.,Slnd,19,16-3,114.7,104.7,0.7394,53.6,48.9,14.6,24.4,36.6,32.3,36.5,38.9,55.3,47.6,33.8,33.6,35.1,46.3,66.6,-0.7
101,Yale,Ivy,11,9-2,115.9,108.9,0.6697,56.1,50,13.8,16.1,30.5,25.6,30.6,25.6,54.2,50.3,39.5,33.1,38,44,65.5,-0.7
59,USC,B10,16,7-9,111.7,99.7,0.7869,48,51,18.1,15.8,33.6,31.2,41.7,36.9,49.9,53.7,29.3,31.4,32.8,41.3,71.2,-0.8
68,Creighton,BE,17,8-9,117.1,105.7,0.7661,54.2,52.1,16.5,13.4,24.3,29.9,29.3,27.9,54.4,51.1,36,36,47.8,33.5,68.8,-1
85,Seton Hall,BE,17,9-8,103.3,95.2,0.7187,45.1,47.2,17.6,20.7,36.1,32.2,36.8,42.2,46.3,47.5,27.4,31.2,43.7,43.7,65.9,-1.1
