"UC Santa Barbara",113.071,115.537,0.4383,10-7,10,17,54.7,54.7,39.6,47.7,18.8,17.6,31.8,27.8,64.6415,52.8,54.6,38.1,36.6,0,0,57.7,51.2,43.6,37.4,64.6415,,,,2026,,,,-4.65185,78.6,
"Arkansas Pine Bluff",105.413,115.015,0.268453,6-11,6,17,47.4,54.7,33.8,47.1,19.6,14.4,28.5,35.3,71.9342,46.9,55.3,32.2,35.8,0,0,55.3,57.8,37.8,38.8,71.9342,,,,2026,,,,-5.7754,76.8,
Toledo,113.073,113.699,0.484135,10-8,10,18,52.1,56.3,35.4,25.7,15.3,18.6,32,34.6,69.1709,51.9,57.9,35,35.9,0,0,52.9,52.8,32,40.4,69.1709,,,,2026,,,,-4.65107,76.7,
Indiana,124.558,100.393,0.922754,12-5,12,17,57.1,45.6,38,36.9,15.7,16.7,30.2,28.3,68.1677,60.2,46.1,36.1,29.8,0,0,65.6,43.6,50.6,35.7,68.1677,,,,2026,,,,-0.158163,78,
Louisiana,96.9025,110.772,0.17678,4-15,4,19,46.6,51.6,27.7,48.3,19.1,17.8,27.3,31.6,63.2297,45.6,50.2,31.9,36.1,0,0,47.5,53.5,43.5,36.7,63.2297,,,,2026,,,,-11.7895,67.3,
"Central Michigan",102.691,116.086,0.196243,5-13,5,18,48.4,55.8,29,42.5,17.7,16.3,28.2,35.8,66.6722,51.1,56.1,28.7,36.9,0,0,54.3,61.6,34.2,40.1,66.6722,,,,2026,,,,-9.05046,72,
Brown,97.9783,104.367,0.325981,6-9,6,15,47.7,48.7,26.4,31.7,19,18.8,29.2,31,67.0362,46.7,50.5,32.9,30.4,0,0,59,52.4,37.7,38.4,67.0362,,,,2026,,,,-7.26582,68.5,
"Wright St.",114.387,107.294,0.676161,12-7,12,19,55.1,51.4,35.2,36.4,17,17.5,31.9,31.8,65.9593,54.5,52.3,37.5,33,0,0,47.9,43.9,34.5,33.1,65.9593,,,,2026,,,,-4.02409,74.3,
"UC Irvine",104.994,99.5137,0.649429,12-6,12,18,48.7,44.9,39.7,28.7,17.5,18.3,29.6,33.2,68.2693,47.4,41.9,34.5,33.8,0,0,55.7,51,29.8,33.4,68.2693,,,,2026,,,,-3.23273,68,
Montana,107.927,108.733,0.478632,9-8,9,17,54.8,50.5,39.7,30.9,20,14.4,22.6,32.5,70.1733,55.9,52.5,35.5,31.4,0,0,58.1,49.9,42,35.7,70.1733,,,,2026,,,,-4.7744,77.8,
UAB,112.037,106.04,0.653095,12-6,12,18,49.2,49.3,37.3,32.1,12.8,16.7,34,26.1,70.0352,51.4,49,29,33.1,0,0,49.9,53.5,28.5,40.1,70.0352,,,,2026,,,,-2.65432,71.1,
Tulane,108.603,110.478,0.450954,12-5,12,17,50.3,51.2,43.1,33.8,14.9,17.9,23.9,35.1,66.0535,52,50,32,35.4,0,0,54.1,56,44.1,40.4,66.0535,,,,2026,,,,-2.72954,76.7,
FIU,111.813,110.345,0.537913,9-8,9,17,51.4,53.1,37.4,34,16.7,20.1,34.6,37.7,71.8984,51,53.4,34.7,35.2,0,0,53.9,63.9,34.2,45.9,71.8984,,,,2026,,,,-4.68477,68.9,
BYU,123.562,98.6229,0.930378,16-1,16,17,56.6,46.5,37.3,24.8,15.3,18.1,35.9,29,70.9294,58.7,47.6,35.7,29.9,0,0,51.2,54.1,40.9,40.2,70.9294,,,,2026,,,,4.48971,74.8,
"Illinois Chicago",107.684,106.885,0.521399,8-10,8,18,47.1,49,37.6,37.7,18.7,19.8,37.4,36.6,66.5103,49,50.1,29,31.7,0,0,51.4,66,33.4,44.1,66.5103,,,,2026,,,,-6.34264,74.8,
Xavier,112.868,104.841,0.700239,11-7,11,18,50.3,52.1,27.7,33.6,13.3,17.5,27.4,27.6,70.4785,47.9,53.8,35.8,32.8,0,0,68.9,66.1,42.3,36.4,70.4785,,,,2026,,,,-1.55601,68.9,
Charlotte,112.45,113.344,0.477271,9-9,9,18,52.7,51.8,39.9,40.1,17.3,15.6,35.3,32.1,63.6372,52.1,50.9,35.6,35.5,0,0,51.5,49.5,43.7,40.4,63.6372,,,,2026,,,,-5.92039,70.9,
Canisius,95.6143,113.461,0.122595,8-10,8,18,45.6,52.3,36.9,32.7,20.1,15.5,29.6,30.6,63.8418,42.7,55.9,33.7,32.2,0,0,57.2,60.1,36.9,47.5,63.8418,,,,2026,,,,-7.34882,70.6,
"Wake Forest",115.223,101.695,0.807871,10-7,10,17,52.8,51,34.1,39,16.8,21.3,32.7,32.4,70.3691,54.1,56,34.1,30.3,0,0,53.8,61,43.5,47.3,70.3691,,,,2026,,,,-1.17855,75.8,
"Florida Atlantic",115.344,104.72,0.752353,12-6,12,18,54.5,50.4,31.6,35.9,17.8,17,33.2,27.3,70.584,55.9,48.7,35.1,35.5,0,0,48.7,48.1,42.2,37,70.584,,,,2026,,,,-2.31143,72.7,
Northeastern,110.202,115.642,0.364908,6-11,6,17,53.6,55.7,33.8,42.8,17.1,19.3,27.8,33.3,70.0453,53.4,57.4,36,35,0,0,56.7,46.3,36.8,34.7,70.0453,,,,2026,,,,-7.81921,70.6,
"Robert Morris",110.416,114.345,0.400814,11-8,11,19,52.9,51.4,29.5,48.6,18.7,16,38.2,30.6,65.028,52.1,51.3,36.1,34.5,0,0,62.4,50.8,40,34.3,65.028,,,,2026,,,,-5.22026,70.9,
Seattle,105.586,99.3789,0.667466,13-6,13,19,51.4,47.1,34.6,34.3,17.1,20.9,26.3,34.2,68.816,50.9,47.8,34.7,30.6,0,0,53.4,52.8,38.3,37.2,68.816,,,,2026,,,,-2.30345,69.4,
Villanova,121.841,102.104,0.884154,14-3,14,17,55.2,51,29.8,27,15.4,18.8,36.1,31.6,63.3038,56,50.1,36.1,35,0,0,54.6,50.8,45.5,38,63.3038,,,,2026,,,,2.51352,70.3,
Howard,98.6846,107.185,0.278839,10-8,10,18,47,50.8,40.6,42.5,20.1,21.5,31,31.6,68.7552,45.7,51.9,33.1,32.5,0,0,57.2,48.8,33.8,36,68.7552,,,,2026,,,,-5.42255,71.6,
"Utah St.",123.326,100.447,0.913715,15-1,15,16,59,47.3,38.2,39,16.9,22.3,36.9,31.2,68.9321,61,45.9,37.2,32.9,0,0,58.7,47,37.2,42.8,68.9321,,,,2026,,,,2.37744,72.3,
Marist,101.605,98.1269,0.598832,11-5,11,16,50.1,43.8,24.4,40.3,17.1,21.7,29,27,67.1547,52.2,45.1,30.9,27.8,0,0,58.9,47.4,36.6,38.2,67.1547,,,,2026,,,,-3.22169,77.5,
"Portland St.",105.58,105.36,0.506002,10-5,10,15,52.9,48.3,36.7,47.4,18.9,17.5,32.1,28.5,69.292,53.3,49.8,34.8,30.7,0,0,54.2,56,36,38.5,69.292,,,,2026,,,,-2.43411,70.1,
Denver,116.368,123.318,0.339146,9-11,9,20,52.9,57.9,35.9,35.5,15.2,13.6,29.8,36.5,68.6035,52.2,58,36,38.5,0,0,39.3,45.3,37.5,37.7,68.6035,,,,2026,,,,-6.02342,77.7,
"Cal St. Northridge",109.53,110.461,0.475682,11-8,11,19,51.5,52.3,37.5,35.7,18.2,15.3,31.9,25.8,73.5393,52.7,52.4,32.8,34.8,0,0,57.3,56.2,35.2,48.5,73.5393,,,,2026,,,,-4.63635,66.9,
Maryland,109.53,106.069,0.591297,7-10,7,17,46.8,53.7,43,32.9,18.7,17.8,33.6,31.1,67.7377,46.7,53.2,31.2,36.3,0,0,45.4,60.8,44.9,40.5,67.7377,,,,2026,,,,-3.19646,74.6,
Rice,108.828,113.729,0.375986,8-10,8,18,47.1,52.4,39,38.9,18,17.6,33.9,35.2,65.6151,43.5,51.3,34.8,36.1,0,0,46.1,49.5,41.5,35.8,65.6151,,,,2026,,,,-6.4842,69,
"Abilene Christian",106.765,111.47,0.378496,10-8,10,18,48.6,56,39.4,54.9,20.9,21.7,32.9,30.5,65.746,48.1,54.8,33.1,39,0,0,53.7,51.7,31.2,32.4,65.746,,,,2026,,,,-4.18752,71.7,
Rider,95.5435,114.409,0.111825,2-14,2,16,41.5,52.2,31.1,31.5,19.4,12.9,32.8,33.6,65.2171,42.9,51.7,25.4,35.3,0,0,43.4,53.2,28,38.8,65.2171,,,,2026,,,,-9.81611,70.3,
"Boston College",101.802,102.125,0.490899,7-10,7,17,46.3,46.5,35.6,34,15.9,15.3,29.8,28.9,65.9171,48.2,46.9,29.3,30.4,0,0,47.5,48.2,44,36.4,65.9171,,,,2026,,,,-5.81852,66.1,
Arizona,125.446,92.9395,0.969206,17-0,17,17,57.1,45.8,42.2,29.7,16.2,18.3,41,24.5,72.0079,57.7,44.2,37.1,32.4,0,0,58.4,50.5,27.6,36,72.0079,,,,2026,,,,5.59624,73.9,
"Penn St.",115.889,109.173,0.665196,9-8,9,17,53.5,55.8,32.2,26.3,13.8,19.5,28.8,30.2,67.4134,56.3,57.1,32.8,36.2,0,0,48.7,58,39,43.7,67.4134,,,,2026,,,,-2.60815,73.9,
Hawaii,106.221,96.8566,0.742954,13-3,13,16,52.9,43,42.3,34.5,19.5,17.8,32.9,25.5,69.4837,56.4,44.1,31.6,27.1,0,0,52.7,37.7,38.6,31.9,69.4837,,,,2026,,,,-1.24725,71.5,
"San Diego",106.952,109.346,0.436709,7-12,7,19,50.8,53.5,28.2,38.8,18,20.4,26.8,38,69.8807,51.5,57.5,33.2,31.7,0,0,58.8,56.4,44.9,40.2,69.8807,,,,2026,,,,-7.36206,76.3,
"UC Davis",110.698,111.846,0.470373,10-7,10,17,54.5,52.3,40.7,41.8,19,18.4,26.1,31.3,69.2489,56.3,51.2,34.8,35.9,0,0,60,54.7,43.9,39.3,69.2489,,,,2026,,,,-3.80878,76.4,
LSU,120.83,105.313,0.829296,12-5,12,17,56,48,43.7,33.7,16.1,14.9,33.7,28.4,67.772,58.8,45.7,34,34.3,0,0,52.6,46.9,36,40,67.772,,,,2026,,,,-0.588476,77.4,
"Fresno St.",104.146,102.248,0.552677,8-9,8,17,50.6,51.3,31.3,29.6,19.8,20,29.5,29,68.6618,52.3,57.3,32.1,28.8,0,0,53.6,51.1,41.5,42.5,68.6618,,,,2026,,,,-5.1288,76.5,
UMKC,97.6742,116.524,0.11616,4-15,4,19,47.3,55.9,32.4,32.7,19.5,16.5,28.5,36.2,69.4231,48.6,57,29.8,35.9,0,0,45.6,51.5,34.3,37.1,69.4231,,,,2026,,,,-11.1312,70,
Baylor,123.53,108.102,0.822623,11-6,11,17,54.4,48.9,38,26.3,16.2,15.6,39.5,34.1,68.4185,53.9,48.5,36.8,33.1,0,0,53.9,47.3,39.1,34.1,68.4185,,,,2026,,,,0.0907926,73,
"Oral Roberts",102.679,113.944,0.231986,5-14,5,19,48.9,54.6,35,42.7,18.9,16.5,27,36.6,67.8368,49.6,54.3,32.1,36.7,0,0,46.7,45,46.2,36.5,67.8368,,,,2026,,,,-10.0487,74.1,
