Matchup,Market_Odds
Samford @ Western Caro. *,147.5
Rhode Island @ Duquesne *,137.5
Alabama @ Florida *,168.5
Siena @ Canisius *,125.5
Purdue @ Maryland *,142.5
Sacred Heart @ Merrimack *,138.5
Manhattan @ Mount St. Mary's *,141.5
Wright St. @ Green Bay *,136.5
Minnesota @ Penn St. *,135.5
Iowa St. @ Kansas St. *,147.5
Quinnipiac @ Fairfield *,144.5
Coastal Carolina @ ULM *,139.5
Wichita St. @ Tulsa *,144.5
East Carolina @ Fla. Atlantic *,145.5
TCU @ Colorado *,146.5
Marist @ Niagara *,123.5
Kansas City @ St. Thomas (MN) *,145.5
Northern Ky. @ Oakland *,159.5
Cleveland St. @ Milwaukee *,154.5
Tulane @ Memphis *,139.5
Illinois @ Nebraska *,143.5
ETSU @ Wofford *,142.5
Iowa @ Oregon *,125.5
Chattanooga @ Furman *,138.5
Saint Peter's @ Rider *,130.5
