Matchup,Market_Odds
Albany Great Danes vs NJIT Highlanders,Over 133.5
Mercyhurst Lakers vs New Haven Chargers,Over 115.5
Drexel Dragons vs Hampton Pirates,Over 122.5
Stonehill Skyhawks vs Fairleigh Dickinson Knights,Over 123.5
Southern Indiana Screaming Eagles vs Lindenwood Lions,Over 142.5
UC San Diego Tritons vs UC Santa Barbara Gauchos,Over 137.5
Furman Paladins vs Samford Bulldogs,Over 141.5
Binghamton Bearcats vs Bryant Bulldogs,Over 123.5
UNC Asheville Bulldogs vs Gardner-Webb Runnin´ Bulldogs,Over 142.5
Jacksonville Dolphins vs Lipscomb Bisons,Over 135.5
Campbell Fighting Camels vs Stony Brook Seawolves,Over 144.5
Florida Gulf Coast Eagles vs North Alabama Lions,Over 139.5
New Hampshire Wildcats vs UMass Lowell River Hawks,Over 136.5
Chattanooga Mocs vs Wofford Terriers,Over 144.5
North Florida Ospreys vs Stetson Hatters,Over 159.5
Hofstra Pride vs College of Charleston Cougars,Over 141.5
East Tennessee State Buccaneers vs Western Carolina Catamounts,Over 140.5
Troy Trojans vs James Madison Dukes,Over 142.5
Citadel Bulldogs vs VMI Keydets,Over 136.5
Vermont Catamounts vs Maryland Baltimore,Over 133.5
Iowa State Cyclones vs Colorado Buffaloes,Over 146.5
Charleston Southern Buccaneers vs Radford Highlanders,Over 156.5
Elon Phoenix vs William & Mary Tribe,Over 160.5
Mercer Bears vs North Carolina Greensboro Spartans,Over 153.5
SC Upstate Spartans vs Longwood Lancers,Over 137.5
LIU Sharks vs Le Moyne Dolphins,Over 140.5
Tarleton State Texans vs Utah Valley Wolverines,Over 148.5
Southern Miss Golden Eagles vs Appalachian State Mountaineers,Over 127.5
UC Riverside Highlanders vs Long Beach State Beach,Over 138.5
Abilene Christian Wildcats vs Utah Tech Trailblazers,Over 135.5
St. Thomas (MN) Tommies vs North Dakota Fighting Hawks,Over 146.5
Northern Colorado Bears vs Idaho Vandals,Over 148.5
South Alabama Jaguars vs Coastal Carolina Chanticleers,Over 132.5
High Point Panthers vs Presbyterian Blue Hose,Over 142.5
Texas Arlington Mavericks vs Southern Utah Thunderbirds,Over 136.5
South Dakota Coyotes vs Oral Roberts Golden Eagles,Over 148.5
Sacramento State Hornets vs Montana State Bobcats,Over 147.5
Memphis Tigers vs Florida Atlantic Owls,Over 145.5
Towson Tigers vs UNC Wilmington Seahawks,Over 127.5
Eastern Illinois Panthers vs UT Martin Skyhawks,Over 121.5
Northern Arizona Lumberjacks vs Eastern Washington Eagles,Over 135.5
Northwestern Wildcats vs Penn State Nittany Lions,Over 141.5
Tennessee State Tigers vs Little Rock Trojans,Over 145.5
Illinois Fighting Illini vs Washington Huskies,Over 145.5
Western Illinois Leathernecks vs Southeast Missouri State Redhawks,Over 134.5
Cal State Bakersfield vs Cal Poly Mustangs,Over 153.5
Morehead St Eagles vs SIU Edwardsville Cougars,Over 125.5
Wagner Seahawks vs Central Connecticut State Blue Devils,Over 132.5
Middle Tennessee State Blue Raiders vs Liberty Flames,Over 128.5
Louisiana Monroe Warhawks vs Georgia Southern Eagles,Over 159.5
